               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11774,            0.032806,             0.02872,          0.00094429,                0.25,           0.0030374,           0.0012427,            0.099373,            0.020029,            0.026385,              0.0883,              0.0013,              0.0013
                   1,            0.083233,            0.033518,            0.027069,            0.001434,               0.375,           0.0072352,           0.0016383,            0.076566,            0.017778,            0.026758,            0.075682,           0.0026822,           0.0026822
                   2,            0.070633,            0.031637,             0.02418,             0.12356,               0.375,             0.21393,            0.059943,            0.074143,            0.015268,             0.02843,            0.063046,           0.0040459,           0.0040459
                   3,            0.064021,            0.027536,            0.023664,            0.070989,                0.25,            0.088309,            0.017857,            0.076319,            0.013428,             0.02771,            0.050391,           0.0053911,           0.0053911
                   4,            0.061563,            0.025302,            0.021805,              0.1801,                0.25,               0.199,            0.060853,            0.066942,             0.01202,             0.02533,            0.037718,           0.0067178,           0.0067178
                   5,            0.060296,            0.024835,            0.020192,             0.14065,             0.44335,              0.1826,            0.039165,            0.070182,            0.010023,            0.020074,            0.025026,           0.0080261,           0.0080261
                   6,            0.059525,            0.020687,            0.016891,                0.33,                0.25,             0.32187,              0.1597,             0.06788,           0.0088387,            0.017303,            0.012316,           0.0093159,           0.0093159
                   7,            0.060474,            0.021974,            0.013307,             0.78626,               0.375,             0.38854,              0.2068,              0.0658,            0.009058,            0.011757,            0.009538,            0.009538,            0.009538
                   8,            0.059391,            0.020002,             0.01121,             0.85705,             0.32116,             0.55902,             0.19716,            0.058926,           0.0087166,            0.015518,            0.009538,            0.009538,            0.009538
                   9,            0.054307,            0.018669,           0.0089091,             0.60216,             0.93684,             0.82688,             0.32357,            0.058334,           0.0084095,           0.0057426,            0.009472,            0.009472,            0.009472
                  10,            0.050963,            0.017831,           0.0074454,             0.62367,             0.96859,             0.87446,             0.42941,            0.058013,           0.0077782,           0.0034775,            0.009406,            0.009406,            0.009406
                  11,            0.047853,            0.017351,           0.0075337,             0.66339,                0.75,                0.87,             0.46468,            0.042389,           0.0070267,           0.0043289,             0.00934,             0.00934,             0.00934
                  12,             0.04683,            0.018128,           0.0060415,             0.42933,             0.99619,             0.70417,             0.35591,            0.054811,           0.0074577,           0.0021267,            0.009274,            0.009274,            0.009274
                  13,            0.046805,            0.017526,           0.0059516,             0.44003,                   1,                0.97,             0.55018,            0.046619,           0.0070972,           0.0028198,            0.009208,            0.009208,            0.009208
                  14,            0.042611,            0.016226,           0.0061113,             0.51114,                   1,             0.91167,             0.40485,            0.043134,           0.0067749,           0.0030418,            0.009142,            0.009142,            0.009142
                  15,            0.041845,            0.016391,           0.0049895,             0.59045,                   1,                0.87,             0.46873,            0.043114,           0.0057535,           0.0055107,            0.009076,            0.009076,            0.009076
                  16,            0.039898,            0.015077,           0.0050708,             0.78833,                   1,               0.995,              0.4074,            0.038505,           0.0059214,           0.0047028,             0.00901,             0.00901,             0.00901
                  17,            0.039695,            0.015064,           0.0039756,             0.89514,                   1,               0.995,             0.55432,            0.036983,           0.0051088,            0.001436,            0.008944,            0.008944,            0.008944
                  18,            0.042107,            0.015605,           0.0037217,             0.96922,                   1,               0.995,             0.38104,            0.043583,           0.0051985,            0.001301,            0.008878,            0.008878,            0.008878
                  19,            0.039311,            0.014711,           0.0039245,             0.97511,                   1,               0.995,             0.51478,            0.038474,           0.0052633,            0.001123,            0.008812,            0.008812,            0.008812
                  20,            0.038559,            0.015222,           0.0031584,             0.96877,                   1,               0.995,             0.43167,            0.039645,           0.0052691,           0.0011393,            0.008746,            0.008746,            0.008746
                  21,            0.036943,            0.014077,           0.0038397,             0.81878,                   1,               0.995,             0.61516,            0.033106,           0.0056133,           0.0022957,             0.00868,             0.00868,             0.00868
                  22,            0.034681,            0.013249,           0.0037177,               0.978,                   1,               0.995,             0.34026,            0.045261,           0.0051289,           0.0010702,            0.008614,            0.008614,            0.008614
                  23,            0.036045,            0.014279,           0.0031959,             0.97162,                   1,               0.995,             0.57099,            0.032221,           0.0051661,           0.0012104,            0.008548,            0.008548,            0.008548
                  24,            0.034832,            0.014106,           0.0038184,             0.96666,                   1,               0.995,             0.58171,             0.03522,           0.0049562,           0.0014347,            0.008482,            0.008482,            0.008482
                  25,            0.033486,            0.014489,           0.0028693,             0.93001,                   1,               0.995,             0.70903,            0.032666,            0.005127,           0.0015907,            0.008416,            0.008416,            0.008416
                  26,            0.033567,            0.013663,           0.0039847,             0.94214,                   1,               0.995,             0.44475,            0.040254,           0.0054312,           0.0015755,             0.00835,             0.00835,             0.00835
                  27,            0.033385,            0.014004,           0.0031041,             0.90203,                   1,               0.995,             0.50028,            0.034292,           0.0053644,           0.0016548,            0.008284,            0.008284,            0.008284
                  28,              0.0355,            0.013443,           0.0029467,             0.95326,                   1,               0.995,             0.64035,            0.030905,           0.0048847,           0.0014969,            0.008218,            0.008218,            0.008218
                  29,            0.033015,            0.014394,           0.0031466,             0.95496,             0.95402,               0.995,             0.70275,            0.030493,           0.0049534,           0.0013706,            0.008152,            0.008152,            0.008152
                  30,            0.033495,            0.012942,           0.0024557,             0.95778,             0.93004,               0.995,             0.51036,            0.036641,           0.0051708,           0.0015755,            0.008086,            0.008086,            0.008086
                  31,            0.031818,            0.013305,           0.0025649,             0.82201,                   1,                0.97,             0.45072,            0.038164,           0.0055742,           0.0025482,             0.00802,             0.00802,             0.00802
                  32,            0.032509,            0.012827,           0.0018375,             0.89875,             0.99053,               0.995,             0.69055,             0.02865,           0.0051289,           0.0018047,            0.007954,            0.007954,            0.007954
                  33,            0.031352,            0.012913,           0.0024951,             0.92028,                   1,               0.995,             0.67793,            0.028845,           0.0048828,           0.0012074,            0.007888,            0.007888,            0.007888
                  34,            0.030808,            0.012069,           0.0028106,             0.94282,                   1,               0.995,             0.55487,            0.032008,           0.0050011,           0.0011229,            0.007822,            0.007822,            0.007822
